event_date,event_description,date_id
2023-08-15,China Economic Slowdown,20230815
2024-09-12,North Korea Missile Test,20240912
2021-11-03,Fed Announces Tapering of Asset Purchases,20211103
2023-12-14,Fed Signals Possible Rate Cut in 2024,20231214
2024-08-23,China Stimulus Announcement,20240823
2024-06-30,OPEC Production Cut,20240630
2024-07-22,China-US Trade Tensions,20240722
2024-01-01,Fed Rate Hikes Continue,20240101
2024-08-24,Powell Jackson Hole Speech,20240824
2022-10-18,China GDP Growth Misses Expectations,20221018
2024-07-01,US Presidential Election Campaigns Begin,20240701
2024-06-01,Global Inflation Concerns,20240601
2020-03-27,US CARES Act Passed,20200327
2021-01-06,US Capitol Riot,20210106
2024-02-12,China Announces Major Infrastructure Stimulus,20240212
2024-07-10,Fed Rate Hike,20240710
2023-07-27,US GDP Surpasses Expectations,20230727
2024-06-02,EU Inflation Data,20240602
2024-08-25,US Tech Sell-Off,20240825
2024-08-15,China Economic Sanctions,20240815
2023-04-04,OPEC Announces Surprise Production Cuts,20230404
2024-05-12,G7 Summit Volatility,20240512
2023-11-01,AI Tech Boom,20231101
2020-03-11,WHO Declares COVID-19 Pandemic,20200311
2022-02-24,Russia Invades Ukraine,20220224
2020-12-14,Vaccine Rollout Begins,20201214
2023-06-01,US Debt Ceiling Crisis,20230601
2022-03-16,US Fed Interest Rate Hikes Begin,20220316
2024-08-07,Ukraine Tensions Escalate,20240807
2020-11-03,US Presidential Election,20201103
2024-09-05,US Job Report Disappoints,20240905
2021-03-23,Ever Given Suez Canal Blockage,20210323
2022-06-15,Fed Implements Largest Rate Hike Since 1994,20220615
